feat_list,hyper_param,fold,avg,std
0,17,3,367.0430204265278,222.35612157309313
0,17,5,352.143438800138,214.51390272679103
0,17,7,305.787227920595,284.42291197310664
0,17,9,315.2875279924497,264.43583678334795
0,17,11,303.99291228585815,275.5020273052607
0,17,13,293.23630063568174,288.7627281182007
0,17,15,289.529240926502,292.57739299280917
0,17,17,275.8693883936167,305.60770326839986
0,17,19,274.6100883861628,304.77648749033733
0,17,21,265.6837670210445,312.3875180307693
0,18,3,367.6697361686085,224.77332103773875
0,18,5,354.9281548712934,215.52952946824138
0,18,7,308.6374765676847,285.973691423556
0,18,9,317.79547324699837,263.42091157455025
0,18,11,304.9979688552366,277.3625968237051
0,18,13,294.03148738130034,288.86818997740335
0,18,15,290.72362786256787,292.6159753544023
0,18,17,278.2730268708936,305.00216739670424
0,18,19,276.6264673196707,304.4661808823798
0,18,21,268.3922172420603,311.9897366749538
0,19,3,369.35420660063204,226.0849342439548
0,19,5,356.9160139033709,216.49394275103066
0,19,7,309.9273397121548,286.6772941241992
0,19,9,319.9170018713794,265.2424991166789
0,19,11,305.68892261192786,280.22703428796996
0,19,13,295.3595160583457,290.8692182469842
0,19,15,291.11136038035727,295.2909630595157
0,19,17,278.1617780844832,307.7661004202671
0,19,19,277.09694208486616,307.35037017630833
0,19,21,269.5034961571599,314.5445670081827
0,20,3,370.6945413276578,227.8481263165033
0,20,5,356.75376703023437,217.82998950408444
0,20,7,309.32277874618165,289.62425513499295
0,20,9,320.9082336827924,266.4781885825805
0,20,11,308.4061553512678,281.46328153577844
0,20,13,296.41115588138393,292.8325385403847
0,20,15,292.00392593964875,297.0329715623426
0,20,17,278.5144885683691,309.861306692935
0,20,19,277.86943379298776,309.2202564052906
0,20,21,270.3721473428394,316.2514615472343
1,1,3,386.36108653832827,143.06528301695204
1,1,5,377.9575965945454,185.22827970595654
1,1,7,360.6610107826908,208.92424318643194
1,1,9,343.5126507341476,223.26578213844044
1,1,11,328.1417730926786,242.74424553610692
1,1,13,325.74855750513143,246.36787091321426
1,1,15,327.9465541485876,244.2870792882329
1,1,17,309.6926491319746,265.96392450685835
1,1,19,316.12122787704163,258.27381825338944
1,1,21,310.404727134931,265.8314081084787
1,2,3,351.925660129019,137.1644228693859
1,2,5,328.70632524033755,139.62328874646278
1,2,7,332.01727194896927,199.44633775588042
1,2,9,314.0098345283062,168.7676525024846
1,2,11,301.49318673601107,189.92685881598257
1,2,13,303.459032170832,195.664577072344
1,2,15,306.5068132117398,191.84377656945543
1,2,17,288.08855587696627,210.29601660251697
1,2,19,294.9040577361329,209.94134566918905
1,2,21,287.5587026949164,219.09175098055778
1,3,3,360.17532949723574,174.37297368029618
1,3,5,317.37555773863045,147.9381959220344
1,3,7,318.5383249459565,237.0198044013483
1,3,9,299.6454598973705,179.8326898750393
1,3,11,292.18508206821815,194.49174040515265
1,3,13,283.131141955142,202.4184821108494
1,3,15,284.1118431465008,201.40219764685122
1,3,17,269.35367787958535,220.2944041968208
1,3,19,272.4906704117889,215.8570012045425
1,3,21,264.81828164349145,224.22087929385916
1,4,3,369.5171548027519,186.054738276537
1,4,5,330.61495700497386,177.83172566495253
1,4,7,324.11244876926554,254.05263158864545
1,4,9,313.1387912236536,207.61122550325427
1,4,11,300.71490336113857,224.7162558473924
1,4,13,294.8841582996279,232.31804243469296
1,4,15,294.4828037417594,233.30256466701178
1,4,17,279.6588151894072,249.20072039161738
1,4,19,282.7407599939145,245.9499714411019
1,4,21,273.11976647173225,255.3663270971808
1,5,3,364.19708121201757,190.46853648528275
1,5,5,334.0513426717807,181.98186929292063
1,5,7,324.57843846175655,254.40257261843186
1,5,9,316.8567720298881,224.2222112605286
1,5,11,304.78267550237354,239.7999457464354
1,5,13,298.2712404523235,250.4854823476084
1,5,15,299.4995662812372,250.37685429935743
1,5,17,281.99258842565683,265.16129249869186
1,5,19,286.5225801108733,263.3737094998876
1,5,21,277.7924906215408,272.8796750126359
1,6,3,361.5548407811444,197.37253016241053
1,6,5,345.30381743579704,190.97110217441485
1,6,7,326.4583953210417,259.75501118328134
1,6,9,320.5012002428714,227.8103011445639
1,6,11,307.30218064014383,244.15126371346182
1,6,13,298.0392779385966,253.28797312848764
1,6,15,296.8060585658174,254.76949750850343
1,6,17,283.4494320534901,270.25896638913133
1,6,19,284.285450506037,265.91987990446523
1,6,21,276.7852075895423,275.4392393998287
1,7,3,369.8810327480699,203.22324670506424
1,7,5,349.01699534723923,193.56582701011524
1,7,7,324.94804847905345,264.56492371579685
1,7,9,324.9787926218487,236.97475763801972
1,7,11,312.3946911452749,252.53656750958643
1,7,13,303.45100489528915,262.37571630342546
1,7,15,301.7280170562888,264.2520432856432
1,7,17,287.87932316761294,278.53310399735705
1,7,19,288.6522809112004,275.6938766636262
1,7,21,280.6639867651446,284.812554517253
1,8,3,374.96230477032896,205.96366474788752
1,8,5,354.0176710097231,192.90801706291748
1,8,7,324.50252411859174,266.14979980627896
1,8,9,325.18779924796536,241.05830724862588
1,8,11,314.88996179362465,255.82516754752368
1,8,13,303.40466466491273,266.8471203918479
1,8,15,303.0835264099111,268.9036468628013
1,8,17,291.7020787970896,281.4713837224491
1,8,19,289.7171046498964,280.3373826924574
1,8,21,281.6942742622879,288.6760429348572
1,9,3,378.25162254482774,207.90781607514083
1,9,5,356.46007370536347,194.05922936768243
1,9,7,323.1314022457603,266.55519450115844
1,9,9,326.820106577787,241.5323006047473
1,9,11,312.3936699399515,257.50994691102676
1,9,13,303.3880309939823,269.29480304238115
1,9,15,302.38906267925773,272.2040773308291
1,9,17,290.30644652214374,282.85788649922824
1,9,19,290.02865417993723,283.3231826063719
1,9,21,281.7607956325578,291.19681292060056
1,10,3,377.3264563544651,206.93917763717204
1,10,5,362.4895086624866,195.4164531095325
1,10,7,326.07690513117035,271.01942261470305
1,10,9,327.83537235981237,242.86446935010966
1,10,11,314.47631770281976,258.95057080479614
1,10,13,303.50403052541384,269.21300112838753
1,10,15,300.4163140833655,273.3772721596181
1,10,17,292.5934677834529,283.62880977554573
